Monday	150000	153000
Monday	153000	140000
Tuesday	111500	114500
Tuesday	114500	121500
Tuesday	121500	124500
Tuesday	143000	150000
Tuesday	150000	153000
Tuesday	153000	160000
Tuesday	161500	164500
Tuesday	164500	171500
Tuesday	171500	174500
Wednesday	111500	114500
Wednesday	114500	121500
Wednesday	121500	124500
Wednesday	143000	150000
Wednesday	150000	153000
Wednesday	153000	160000
Wednesday	161500	164500
Wednesday	164500	171500
Wednesday	171500	174500
Thursday	100000	103000
Thursday	103000	110000
Thursday	110000	113000
Thursday	114500	121500
Thursday	121500	124500
Thursday	124500	131500
Thursday	131500	134500
