#,title,Original Decision,Cancellations,Final Decision,Revised papers,Time 20,Vinicius Macuch Silva and Sean Roberts. Language adapts to signal disruption in interaction,Poster,,Poster,,,
86,"Rick Janssen, Bodo Winter, Dan Dediu, Scott Moisik and Sean Roberts. NONLINEAR BIASES IN ARTICULATION CONSTRAIN THE DESIGN SPACE OF LANGUAGE",Reject,,Reject,,,
99,Elizabeth Irvine and Sean Roberts. Deictic Tools can Limit the Emergence of Referential Symbol Systems,ACCEPT,,ACCEPT,,,
p1,Ljiljana Progovac (Plenary Talk),ACCEPT,,ACCEPT,,,Plenary talk
