Timestamp,Do you wish your paper to appear in the proceedings?,If you do want your paper included (at some point):,Paper Number,Name
19/01/2016 10:45:02,Yes,Creative Commons CC BY license (preferred),99,Elizabeth Irvine
19/01/2016 10:27:48,Yes,Creative Commons CC BY license (preferred),86,Rick Janssen
19/01/2016 09:48:18,Yes,Creative Commons CC BY license (preferred),20,Sean Roberts
24/01/2016 18:10:32,Yes,Creative Commons CC BY license (preferred),p1,Ljiljana Progovac
